"logos","Customer_list.Customer_name","websites","linkedin","facebook","instagram"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKoc4tLRjGf9Bdti9tCZqZH2OWeiBmfDG1IwjPc6V3LAe1hEgRU3pdpv3CIYs&s","LARS SPENGELER -","https://www.amw-spengeler.de/","https://www.linkedin.com/company/lars","https://hi-in.facebook.com/lars.spengler.1","https://www.instagram.com/luckyloser73/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtAspBMAfXnlnaASdkidAu3QV-swU9-57dGLv4OofjIElJYh_CoLaiN3r9kIU&s","SAN PIETRO SERVIZI SRL","https://www.informazione-aziende.it/Azienda_SANPIETRO-SERVIZI-SRL","https://it.linkedin.com/company/centro-software-s.r.l.","https://www.facebook.com/sinedileservizisrl/","https://www.instagram.com/savnoservizi/%3Fhl%3Daf"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz4QwQUAgR1bL4RuL4TBNKoomL7_I132bFeSuBw6KO1iGrGtfky29D-Os0eQ&s","ILLUMINANDO FIRENZE SRLS","https://www.illuminando.com/","linkedin Not found","https://ar-ar.facebook.com/biaginiluce/","https://www.instagram.com/chelinifirenze/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKYK92EihcWC5xAqZ4o5wcB5AriUOMr92RqU5ekWAiT77r2xYsqAqlM3yJvg&s","SAVI IMMOBILIER","https://www.savi-immobilier.fr/","https://fr.linkedin.com/company/savi-immobilier","https://www.facebook.com/saviimmobilier45","https://www.instagram.com/savi_immobilier/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGbS0pQ0iRdNHMkfSrchPys3Wzpohj6GW8I4_c-bMmbfKuBZgQ8q1ynHSfbAw&s","SERENA","https://www.serenawilliams.com/","https://fr.linkedin.com/company/serenavc","https://ar-ar.facebook.com/SerenaWilliams","https://www.instagram.com/serenawilliams/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9O7MvBFnjhtZjP6U5ahtXdewcDNn4Sf4OOkiR2-2DhzPepyrBaSL8epJKoJU&s","MEYER WERBUNG","https://meyer-werbung.de/","linkedin Not found","https://ar-ar.facebook.com/kommzumeyers/","https://www.instagram.com/barbarameier/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtBp74aQ83ZOR5Wt5FoOHtUem9CXnxbfhcMsxenC7EC1gc-aiYrC6Esr0Nbrc&s","SISTEMA DESIGN DI CARLI FEDERICO","https://sistemadesign.it/news/","linkedin Not found","https://www.facebook.com/federico.carli.5","https://www.instagram.com/sistemadesign/"
"Logo Not found","CAFE DALI","website Not found","https://de.linkedin.com/company/caf%25C3%25A9-dali","https://ar-ar.facebook.com/pages/category/Restaurant/Cafe%25CC%2581-Dali%25CC%2581-104656328340982/","https://www.instagram.com/cafedali.in/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzjjhYLeBavl1X0G1RB3yDWwens9mYkzN6ymIHV-2QtVehzcNoMTZwCm3-vMs&s","AUX DELICES DE L ABBAYE","https://www.tripadvisor.fr/Restaurant_Review-g9681754-d3324426-Reviews-Aux_Delices_de_l_Abbaye-Orbais_l_Abbaye_Marne_Grand_Est.html","https://ae.linkedin.com/company/hotel-abbaye-de-talloires","https://fr-fr.facebook.com/pages/category/Restaurant/Au-d%25C3%25A9lice-de-labbaye-525066401007283/","https://www.instagram.com/auxdelices_delabbaye/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThcOzteBCYgpMopG-1vLYkggxH2gnDMThzdM5tCgQklXl6pdfEW3Bvc9TYeg&s","MME FLORENCE YOONGRAM","https://www.anses.fr/fr/documents/CHIM2009sa0331Ra-02-An02.pdf","linkedin Not found","facebook Not found","https://www.instagram.com/florencepugh/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRX3O00sOtzTO2QaeMpy_rTu6eunhn988c4pYAdQFAZJ4AMIUcIAsLI4QeGVQ&s","ARKASS VERSICHERUNGSMAKLER","https://arkass-stein.de/","https://www.linkedin.com/company/schober-information-group","https://de-de.facebook.com/SparkasseKarlsruhe/","https://www.instagram.com/lustigistdasvertreterleben/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXONOBR0Y-j5rHmP2nXCo3wgAObdOTK0wkGfp5zvgJ0jeLPBsX1mz80hTY8b4&s","AERA CONCEPT","http://m.aera.hu/en/","https://in.linkedin.com/company/%25C3%25A6ra-strategic-innovation","https://www.facebook.com/pages/category/Apparel-Distributor/Aerea-Concept-144490806151706/","https://www.instagram.com/areaconceptstore/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSptZ9nMJDFVSfrJwdpqHoSFmVCAG9wAgx_Y5J6Gr6mDyFjFe_sOani0vt3Q&s","MAINTECH SANTE","https://maintech-sante.fr/","https://fr.linkedin.com/company/maintech-industries","https://fr-fr.facebook.com/pages/category/Computer-Company/Maintech-Niger-130558907124254/","https://www.instagram.com/maintech_senegal/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuCdLyr-L5MtN2E2raJwK3Ac5rru9pn7EL2kS1NVGJoM5gGxhKqIkGZTSs9Q&s","CHEVALLIER CONSEIL","https://chevallierconseil.fr/","https://fr.linkedin.com/company/d--chevallier-conseils","https://m.facebook.com/profile.php%3Fid%3D750961211632240","https://www.instagram.com/nchevalier_heraulthomehunter/%3Fhl%3Dfr"
"Logo Not found","EARL DU VERNET","website Not found","linkedin Not found","https://en-gb.facebook.com/pages/La-petite-ferme-du-Vernet/1677384575691061","https://www.instagram.com/fromages_bach/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTg8KDOKWCvhSadtpcBo0VXwiCTprQDpPz0yYSG8_myBajirZEKQ7tAcJsSdA&s","BUISSONNIERE ACTIVITES GITES SEJOURS","https://labuissonniereags.com/fr/","linkedin Not found","https://ar-ar.facebook.com/pages/category/Hotel---Lodging/La-Buissonni%25C3%25A8re-AGS-1964852467076218/","instagram Not found"
"Logo Not found","ELICICOLTURA UMBRA","website Not found","linkedin Not found","https://www.facebook.com/elixumbra/","https://www.instagram.com/explore/tags/insettibuoni/"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZL0cYnJjvlPbFRa22gR2FDyq2mftLyikfLAG5bf3A3QRnfT79yA0ha1Twtg&s","STAATLICHE BERUFSSCHULE II BAYREUTH","https://kbs-bth.de/anmeldung/index.php","linkedin Not found","https://m.facebook.com/profile.php%3Fid%3D115509605149538","https://www.instagram.com/bbs2_del/"
